"page_num";"type";"title";"link";"authors";"source";"date";"issue";"volume";"pages";"doi";"keywords"
1;"Статья";"Intercultural Friendships, Social Identities and Psychological Well-Being of Ethnic Minorities in Different Contexts";"https://publications.hse.ru/view/335756941";"Galyapina Victoria Nikolaevna; Lebedeva Nadezhda; Lepshokova Zarina";"Journal of Intercultural Communication Research";"2020";"1";"49";"86 - 105";"10.1080/17475759.2020.1713192";"межкультурные дружеские контакты; социальные идентичности; психологическое благополучие; русское этническое меньшинство; Северный Кавказ; Южный Кавказ"
1;"Статья";"Is there “smoke without fire”? Applying the theory of values to the study of motivational aspects of ethnic stereotypes: The case of Jewish stereotypes in Russia";"https://publications.hse.ru/view/341281838";"Татартаковский Евгений Юрьевич; Walsh Sophie D.; Лебедева Надежда Михайловна; Татарко Александр Николаевич; Patrakov Eduard; Nikulina Marina";"International Journal of Psychology";"2020";NA;NA;NA;"10.1002/ijop.12654";"ethnic stereotypes; Jews; Russia; Values"
1;"Статья";"Social capital, acculturation attitudes, and sociocultural adaptation of migrants from central Asian republics and South Korea in Russia";"https://publications.hse.ru/view/341281398";"Татарко Александр Николаевич; Берри Джон Уиддап; Цой Гунвон";"Asian Journal of Social Psychology";"2020";NA;NA;NA;"10.1111/ajsp.12401";"acculturation attitudes; bonding social capital; bridging social capital; migrants; sociocultural adaptation"
1;"Статья";"Values and communication apprehension as antecedents of conflict styles in intercultural conflicts: A study in Germany and Russia";"https://publications.hse.ru/view/314401994";"Batkhina Anastasia";"Peace and Conflict";"2020";"1";"26";"22 - 34";"10.1037/pac0000429";"межкультурный конфликт; индивидуальные ценности; межкультурная коммуникация; стратегии конфликтного поведения; опасение межкультурной коммуникации"
1;"Статья";"Взаимодействие климата и экономики как фактор уровня коллективизма в регионах России";"https://publications.hse.ru/view/314113689";"Макласова Екатерина Владимировна; Татарко Александр Николаевич";"Общественные науки и современность";"2020";"1";NA;NA;NA;"collectivism; climatic demand; climate; GDP; GRP; gross regional product; Russia; region"
1;"Статья";"Взаимосвязь индивидуальных ценностей и просоциального поведения в онлайн- и офлайн-контекстах";"https://publications.hse.ru/view/350245237";"Ефремова Мария Викторовна; Бульцева Мария Александровна";"Социальная психология и общество";"2020";"1";"11";"107 - 126";"10.17759/sps.2020110107";"prosocial behavior; online context; offline context; internet; cyberpsychology"
1;"Статья";"Восприятие культурных различий и межкультурной компетентности российскими студентами с разным уровнем креативности";"https://publications.hse.ru/view/350291124";"Бульцева Мария Александровна";"Общественные науки и современность";"2020";"1";NA;"132 - 147";"10.31857/S086904990008515-8";"creativity;  intercultural competence; cultural differences; content analysis"
1;"Статья";"Информационно-коммуникационные технологии и семейные отношения: вред или польза?";"https://publications.hse.ru/view/341040079";"Дубров Дмитрий Игоревич";"Социальная психология и общество";"2020";"1";"11";"72 - 91";"10.17759/sps.2020110105";" information and communication technologies;  digital technologies; family social capital; child-parent relations; social relations"
1;"Статья";"Международный опыт организации родственного ухода за пожилыми людьми";"https://publications.hse.ru/view/316026876";"Миронова Анна Алексеевна";"The Journal of Social Policy Studies/Zhurnal Issledovaniy Sotsial'noy Politiki";"2020";NA;NA;NA;NA;"family care; elderly; disabled people; social support; long-term care"
1;"Статья";"Методика оценки вовлеченности в использование информационно-коммуникационных технологий";"https://publications.hse.ru/view/355317514";"Татарко Александр Николаевич; Макласова Екатерина Владимировна; Лепшокова Зарина Хизировна; Галяпина Виктория Николаевна; Ефремова Мария Викторовна; Дубров Дмитрий Игоревич; Бульцева Мария Александровна; Бушина Екатерина Валерьевна; Миронова Анна Алексеевна";"Социальная психология и общество";"2020";"1";"11";"159 - 179";"10.17759/sps.2020110110";"communication;  information and communication technologies; internet; social networks"
1;"Статья";"Модель ""Контакты-Эмоции-Предубеждения"": роль этнического дальтонизма и воспринимаемой этнической плотности";"https://publications.hse.ru/view/319994743";"Григорьев Дмитрий Сергеевич";"Социальная психология и общество";"2020";NA;NA;NA;NA;NA
1;"Книга";"Acculturation: A Personal Journey Across Cultures.";"https://publications.hse.ru/view/286039260";"Berry John W.";"Cambridge University Press";"2019";NA;NA;NA;"10.1017/9781108589666";"Межкультурные взаимодействия; аккультурация мигрантов"
1;"Статья";"Axiological-Identitary Collective Action Model (AICAM): A new integrative perspective in the analysis of protest";"https://publications.hse.ru/view/279967628";"Sabucedo JosA© Manuel; Dono Marcos; Grigoryev Dmitry; GA<U+00B3>mez-RomA<U+00A1>n Cristina; Alzate MA<U+00B3>nica";"PLoS ONE";"2019";"6";"14";"1 - 17";"10.1371/journal.pone.0218350";NA
1;"Статья";"Devoutness to Islam and the attitudinal acceptance of political violence among young Muslims in Germany";"https://publications.hse.ru/view/219631740";"Hadjar A.; Schiefer D.; Boehnke Klaus; Frindte W.; Geschke D.";"Political Psychology";"2019";"2";"40";"205 - 222";"10.1111/pops.12508";NA
1;"Глава";"Diversity and equity in plural societies: Psychological perspectives";"https://publications.hse.ru/view/206356345";"Berry John W.";"Psychological Perspectives on Diversity and Social Development";"2019";NA;NA;"23 - 35";"10.1007/978-981-13-3341-5_2";NA
1;"Статья";"Domains of Everyday Creativity and Personal Values";"https://publications.hse.ru/view/273253562";"Lebedeva Nadezhda; Schwartz Shalom; van de Vijver Fons; Plucker Jonathan; Bushina Ekaterina";"Frontiers in Psychology";"2019";NA;"9";"1 - 16";"10.3389/fpsyg.2018.02681";NA
1;"Препринт";"Interaction of climate and economy as a factor of collectivism in the regions of Russia";"https://publications.hse.ru/view/314117382";"Maklasova Ekaterina; Tatarko Alexander";"PSYCHOLOGY. WP BRP. Издательский дом НИУ ВШЭ";"2019";NA;NA;NA;NA;NA
1;"Статья";"Intercultural Relations in Georgia and Tajikistan: A Post-Conflict Model";"https://publications.hse.ru/view/302978237";"Berry John W.; Galyapina Victoria Nikolaevna; Lebedeva Nadezhda; Lepshokova Zarina; Ryabichenko Tatiana";"Psychology, Journal of the Higher School of Economics";"2019";"2";"16";"232 - 249";"10.17323/1813-8918-2019-2-232-249";"этническое меньшинство; этническое большинство; межкультурные отношения; мультикультурализм; контакты; интеграция; постсоветский; Грузия; Таджикистан"
1;"Статья";"Mapping ethnic stereotypes and their antecedents in Russia: The Stereotype Content Model";"https://publications.hse.ru/view/291058993";"Grigoryev Dmitry; Fiske Susan T.; Batkhina Anastasia";"Frontiers in Psychology";"2019";"1643";"10";"1 - 21";"10.3389/fpsyg.2019.01643";NA
1;"Статья";"Multiple Belongings and Psychological Well-Being Among Immigrants and the Second Generation in Canada";"https://publications.hse.ru/view/307957026";"Berry John W.; Hou F.";"Canadian Journal of Behavioural Science";"2019";"3";"51";"159 - 170";"10.1037/cbs0000130";"аккультурация мигрантов; идентичность; благополучие индивида; религия"
1;"Статья";"Psychological adjustment and social capital: a qualitative investigation of Chinese expatriates";"https://publications.hse.ru/view/243930188";"He Beiting; An Ran; Berry John W.";"Cross Cultural and Strategic Management";"2019";"1";"26";"67 - 92";"10.1108/CCSM-04-2018-0054";"социальный капитал; организационная поддержка; аккультурация мигрантов; китайские экспаты; психологическая адаптация"
2;"Статья";"Public views of the Sustainable Development Goals across countries";"https://publications.hse.ru/view/308051616";"Bain Paul G.; Kroonenberg Pieter M.; Johansson Lars-Olof; Milfont Taciano L.; Crimston Charlie R.; Kurz Tim; Bushina Ekaterina; Calligaro Carolina; Demarque Christophe; Guan Yanjun; Park Joonha";"Nature Sustainability. 2019. Vol. 2. P. 819-825.";"2019";NA;"2";"819 - 825";"10.1038/s41893-019-0365-4";"устойчивое развитие; климат"
2;"Препринт";"RELATIONSHIP BETWEEN INTERCULTURAL INTERACTIONS IN THE UNIVERSITY AND CREATIVITY OF RUSSIAN STUDENTS: ROLE OF INTERCULTURAL COMPETENCE";"https://publications.hse.ru/view/311834249";"Bultseva Maria A.; Lebedeva Nadezhda";"PSYCHOLOGY. WP BRP. Издательский дом НИУ ВШЭ";"2019";NA;NA;NA;NA;"креативность; межкультурные контакты; культурное обучение; культурная гетерогенность; межкультурная компетентность"
2;"Статья";"Religious Identification and Attitude toward Economic Involvement among Christians and Muslims in Russia";"https://publications.hse.ru/view/312281895";"Efremova Maria; Lepshokova Zarina";"Psychology, Journal of the Higher School of Economics";"2019";"2";"16";"269 - 284";"10.17323/1813-8918-2019-2-269-284";"Религиозная идентичность; экономические установки и представления  ; экономическая вовлеченность; православные христиане; мусульмане; модели экономического поведения"
2;"Статья";"Social Construction of the Value-Behavior Relation";"https://publications.hse.ru/view/286039558";"Ponizovskiy Vladimir; Grigoryan Lusine; Kuhnen Ulrich; Boehnke Klaus";"Frontiers in Psychology";"2019";NA;"10";"1 - 12";"10.3389/fpsyg.2019.00934";"индивидуальные ценности; поведение; установки; мотивация"
